hour,TIME(1-Perth),1-Perth,TIME(2-Hong Kong),2-Hong Kong,TIME(3-DUNDEE),3-DUNDEE,TIME(4-PALO),4-PALO,TIME(5-Crieff),5-Crieff,TIME(6-Aberfeldy),6-Aberfeldy,TIME(7-Pitlochry),7-Pitlochry,TIME(8-Kinross),8-Kinross,TIME(9-Auchterarder),9-Auchterarder,TIME(10-Blairgowrie),10-Blairgowrie,TIME(11-Dunkeld),11-Dunkeld,TIME(12-BOULDER),12-BOULDER
0,2019/7/1 0:00,5,2022/5/17 0:00,6,2018/7/1 0:00,32,2020/11/1 0:00,2,2019/7/1 0:00,1,2019/7/1 0:00,1,2019/7/1 0:00,1,2019/7/1 0:00,6,2019/7/1 0:00,0,2019/7/1 0:00,0,2019/7/1 0:00,0,2021/8/1 0:00,1
1,2019/7/1 1:00,5,2022/5/17 1:00,5,2018/7/1 1:00,31,2020/11/1 1:00,2,2019/7/1 1:00,1,2019/7/1 1:00,1,2019/7/1 1:00,1,2019/7/1 1:00,4,2019/7/1 1:00,0,2019/7/1 1:00,0,2019/7/1 1:00,0,2021/8/1 1:00,1
2,2019/7/1 2:00,5,2022/5/17 2:00,8,2018/7/1 2:00,34,2020/11/1 2:00,2,2019/7/1 2:00,1,2019/7/1 2:00,1,2019/7/1 2:00,1,2019/7/1 2:00,4,2019/7/1 2:00,0,2019/7/1 2:00,0,2019/7/1 2:00,0,2021/8/1 2:00,1
3,2019/7/1 3:00,5,2022/5/17 3:00,4,2018/7/1 3:00,28,2020/11/1 3:00,2,2019/7/1 3:00,1,2019/7/1 3:00,1,2019/7/1 3:00,1,2019/7/1 3:00,4,2019/7/1 3:00,0,2019/7/1 3:00,0,2019/7/1 3:00,0,2021/8/1 3:00,1
4,2019/7/1 4:00,5,2022/5/17 4:00,3,2018/7/1 4:00,31,2020/11/1 4:00,2,2019/7/1 4:00,1,2019/7/1 4:00,0,2019/7/1 4:00,1,2019/7/1 4:00,4,2019/7/1 4:00,0,2019/7/1 4:00,0,2019/7/1 4:00,0,2021/8/1 4:00,1
5,2019/7/1 5:00,5,2022/5/17 5:00,6,2018/7/1 5:00,31,2020/11/1 5:00,2,2019/7/1 5:00,1,2019/7/1 5:00,1,2019/7/1 5:00,1,2019/7/1 5:00,4,2019/7/1 5:00,0,2019/7/1 5:00,0,2019/7/1 5:00,0,2021/8/1 5:00,1
6,2019/7/1 6:00,6,2022/5/17 6:00,6,2018/7/1 6:00,26,2020/11/1 6:00,2,2019/7/1 6:00,1,2019/7/1 6:00,1,2019/7/1 6:00,1,2019/7/1 6:00,4,2019/7/1 6:00,0,2019/7/1 6:00,0,2019/7/1 6:00,0,2021/8/1 6:00,2
7,2019/7/1 7:00,5,2022/5/17 7:00,9,2018/7/1 7:00,29,2020/11/1 7:00,2,2019/7/1 7:00,1,2019/7/1 7:00,2,2019/7/1 7:00,1,2019/7/1 7:00,6,2019/7/1 7:00,0,2019/7/1 7:00,0,2019/7/1 7:00,0,2021/8/1 7:00,3
8,2019/7/1 8:00,6,2022/5/17 8:00,13,2018/7/1 8:00,25,2020/11/1 8:00,6,2019/7/1 8:00,2,2019/7/1 8:00,2,2019/7/1 8:00,1,2019/7/1 8:00,4,2019/7/1 8:00,0,2019/7/1 8:00,0,2019/7/1 8:00,0,2021/8/1 8:00,6
9,2019/7/1 9:00,9,2022/5/17 9:00,13,2018/7/1 9:00,24,2020/11/1 9:00,10,2019/7/1 9:00,2,2019/7/1 9:00,2,2019/7/1 9:00,2,2019/7/1 9:00,4,2019/7/1 9:00,1,2019/7/1 9:00,0,2019/7/1 9:00,0,2021/8/1 9:00,7
10,2019/7/1 10:00,11,2022/5/17 10:00,12,2018/7/1 10:00,26,2020/11/1 10:00,9,2019/7/1 10:00,2,2019/7/1 10:00,1,2019/7/1 10:00,1,2019/7/1 10:00,6,2019/7/1 10:00,1,2019/7/1 10:00,1,2019/7/1 10:00,0,2021/8/1 10:00,7
11,2019/7/1 11:00,13,2022/5/17 11:00,14,2018/7/1 11:00,29,2020/11/1 11:00,10,2019/7/1 11:00,2,2019/7/1 11:00,1,2019/7/1 11:00,1,2019/7/1 11:00,4,2019/7/1 11:00,0,2019/7/1 11:00,1,2019/7/1 11:00,0,2021/8/1 11:00,7
12,2019/7/1 12:00,13,2022/5/17 12:00,15,2018/7/1 12:00,31,2020/11/1 12:00,13,2019/7/1 12:00,2,2019/7/1 12:00,2,2019/7/1 12:00,1,2019/7/1 12:00,6,2019/7/1 12:00,0,2019/7/1 12:00,0,2019/7/1 12:00,0,2021/8/1 12:00,5
13,2019/7/1 13:00,12,2022/5/17 13:00,13,2018/7/1 13:00,30,2020/11/1 13:00,13,2019/7/1 13:00,2,2019/7/1 13:00,1,2019/7/1 13:00,2,2019/7/1 13:00,8,2019/7/1 13:00,0,2019/7/1 13:00,0,2019/7/1 13:00,0,2021/8/1 13:00,6
14,2019/7/1 14:00,10,2022/5/17 14:00,12,2018/7/1 14:00,33,2020/11/1 14:00,14,2019/7/1 14:00,2,2019/7/1 14:00,1,2019/7/1 14:00,1,2019/7/1 14:00,8,2019/7/1 14:00,0,2019/7/1 14:00,0,2019/7/1 14:00,0,2021/8/1 14:00,10
