model,metric,trainlen,source \ target,Perth,HK,PALO,DUNDEE,BOULDER,Auchterarder,Kinross,Pitlochry,Crieff,Aberfeldy,Dunkeld,Blairgowrie
GRU,mae,1,Perth,0.403935185,0.470833333,0.629960317,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,1,HK,0.407407407,0.455555556,0.700396825,0.394730301,0.182748538,0.201388889,0.441840278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,1,PALO,0.422453704,0.470833333,0.869047619,0.394730301,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,1,DUNDEE,0.422453704,0.470833333,0.692460317,0.397464579,0.182748538,0.194444444,0.449652778,0.150462963,0.048611111,0.038194444,0.194444444,0.194444444
GRU,mae,1,BOULDER,0.422453704,0.470833333,0.610119048,0.396470296,0.182748538,0.215277778,0.4375,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,1,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,1,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,1,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,1,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,1,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,1,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
