TIME(1-Perth),week,hour,1-Perth,TIME(2-XIANGGANG),2-XIANGGANG,TIME(3-PALO),3-PALO,TIME(4-DUNDEE),4-DUNDEE,TIME(5-BOULDER),5-BOULDER, TIME(6-Auchterarder),6-Auchterarder, TIME(7-Kinross),7-Kinross,Time(8-Pitlochry),8-Pitlochry,Time(9-Crieff),9-Crieff,Time(10-Aberfeldy),10-Aberfeldy,Time(11-Dunkeld),11-Dunkeld,Time(12-Blairgowrie),12-Blairgowrie,13-Beijing
2019/7/1 0:00,1,0 ,5,2022/5/17 0:00,6,2020/11/1 0:00,2,2018/7/1 0:00,32,2021/8/1 0:00,1,2019/7/1 0:00,0,2019/7/1 0:00,6,2019/7/1 0:00,1,2019/7/1 0:00,1,2019/7/1 0:00,1,2019/7/1 0:00,0,2019/7/1 0:00,0,48
2019/7/1 1:00,1,1 ,5,2022/5/17 1:00,5,2020/11/1 1:00,2,2018/7/1 1:00,31,2021/8/1 1:00,1,2019/7/1 1:00,0,2019/7/1 1:00,4,2019/7/1 1:00,1,2019/7/1 1:00,1,2019/7/1 1:00,1,2019/7/1 1:00,0,2019/7/1 1:00,0,64
2019/7/1 2:00,1,2 ,5,2022/5/17 2:00,8,2020/11/1 2:00,2,2018/7/1 2:00,34,2021/8/1 2:00,1,2019/7/1 2:00,0,2019/7/1 2:00,4,2019/7/1 2:00,1,2019/7/1 2:00,1,2019/7/1 2:00,1,2019/7/1 2:00,0,2019/7/1 2:00,0,71
2019/7/1 3:00,1,3 ,5,2022/5/17 3:00,4,2020/11/1 3:00,2,2018/7/1 3:00,28,2021/8/1 3:00,1,2019/7/1 3:00,0,2019/7/1 3:00,4,2019/7/1 3:00,1,2019/7/1 3:00,1,2019/7/1 3:00,1,2019/7/1 3:00,0,2019/7/1 3:00,0,74
2019/7/1 4:00,1,4 ,5,2022/5/17 4:00,3,2020/11/1 4:00,2,2018/7/1 4:00,31,2021/8/1 4:00,1,2019/7/1 4:00,0,2019/7/1 4:00,4,2019/7/1 4:00,1,2019/7/1 4:00,1,2019/7/1 4:00,0,2019/7/1 4:00,0,2019/7/1 4:00,0,78
2019/7/1 5:00,1,5 ,5,2022/5/17 5:00,6,2020/11/1 5:00,2,2018/7/1 5:00,31,2021/8/1 5:00,1,2019/7/1 5:00,0,2019/7/1 5:00,4,2019/7/1 5:00,1,2019/7/1 5:00,1,2019/7/1 5:00,1,2019/7/1 5:00,0,2019/7/1 5:00,0,90
2019/7/1 6:00,1,6 ,6,2022/5/17 6:00,6,2020/11/1 6:00,2,2018/7/1 6:00,26,2021/8/1 6:00,2,2019/7/1 6:00,0,2019/7/1 6:00,4,2019/7/1 6:00,1,2019/7/1 6:00,1,2019/7/1 6:00,1,2019/7/1 6:00,0,2019/7/1 6:00,0,110
2019/7/1 7:00,1,7 ,5,2022/5/17 7:00,9,2020/11/1 7:00,2,2018/7/1 7:00,29,2021/8/1 7:00,3,2019/7/1 7:00,0,2019/7/1 7:00,6,2019/7/1 7:00,1,2019/7/1 7:00,1,2019/7/1 7:00,2,2019/7/1 7:00,0,2019/7/1 7:00,0,176
2019/7/1 8:00,1,8 ,6,2022/5/17 8:00,13,2020/11/1 8:00,6,2018/7/1 8:00,25,2021/8/1 8:00,6,2019/7/1 8:00,0,2019/7/1 8:00,4,2019/7/1 8:00,1,2019/7/1 8:00,2,2019/7/1 8:00,2,2019/7/1 8:00,0,2019/7/1 8:00,0,299
2019/7/1 9:00,1,9 ,9,2022/5/17 9:00,13,2020/11/1 9:00,10,2018/7/1 9:00,24,2021/8/1 9:00,7,2019/7/1 9:00,1,2019/7/1 9:00,4,2019/7/1 9:00,2,2019/7/1 9:00,2,2019/7/1 9:00,2,2019/7/1 9:00,0,2019/7/1 9:00,0,439
